"","names_n","elo_n"
"408","maxfade",2037.46819338422
"409","RAMATAK",1451.44444444444
"410","galaxy42",2519.53471596032
"411","Fangang",1928.91219512195
"412","megracia",2235.36099585062
"413","goran5rovic",1847.44607843137
"414","Triangel2023",1533.34331337325
"415","enes1515151515",1318.35365853659
"416","Bender_Ostap1318",927.936170212766
"417","HOTI",1741.29553264605
"418","royalonline",1591.44680851064
"419","gesar48",1540.63358778626
"420","Saintnem",1584.22619047619
"421","FrookYouUp",1142.45644599303
"422","Papalasconi",1914.58585858586
"423","lucky_lukeofchess",2249.78709677419
"424","jefvchess",2113.23308270677
"425","Radi86_SC",1852.17733990148
"426","rcdros",1455.87320574163
"427","Mahramov",1931.4367816092
"428","Tegmiles",1879.66463414634
"429","furkaydin36",1102.68333333333
"430","Flohr-Challenger",2368.51948051948
"431","TurmBrandt",1169.15865384615
"432","P3STE",1373.48571428571
"433","HELH4life",1366.01020408163
"434","MACIK-VA77",1752.29508196721
"435","tagisadegian",1266.36236933798
"436","evane",2169.73271889401
"437","Joseeyas",1892.87037037037
"438","MOROZ_35",1622.2
"439","wiolettaba",1252.02797202797
"440","Dis_Ko",2002.97674418605
"441","gro0t",1153.65454545455
"442","rios69",1987.58641975309
"443","Frieda66",1293.67857142857
"444","Lukyman_kra",1854.51111111111
"445","romrom17",1850
"446","Nori_1365n-m",1391.09230769231
"447","JJStruijk",1943.55696202532
"448","saha00",825.881040892193
"449","Devirhan",1547.51145958987
"450","Rickywasayoungboy",1516.68493150685
"451","SuperFork",2004.23295454545
"452","kirillandree",917.333333333333
"453","denzyo_KCPI",2166.63392857143
"454","swarnnnnnn",920.780303030303
"455","nikrikov",1943.030651341
"456","avatarjasper",1621.58108108108
"457","capivaara",1557.71354166667
"458","meloturkmen",1866.02941176471
"459","ruter",2175.94554455446
"460","cokon777",2092.71636363636
"461","SWAMPFOOT",1314.17832167832
"462","bingser",1639.57003891051
"463","Menegor",1097.55319148936
"464","thenextbesthang",1686.51428571429
"465","TedSummers",1958.90677966102
"466","whiteartur1997",1746.27777777778
"467","ZakaB",2088.80638722555
"468","Khangchess2023",1500
"469","avani_tyagi",1462.25
"470","creatorbeats",1732.29081632653
"471","mostafa199600",1418.10344827586
"472","SlowInternetSpeed",1946.88888888889
"473","eifachufa",1969.82266009852
"474","Umar636319",1251.67940199336
"475","Tkachiev",1937.89036544851
"476","farhadia",1141.0637254902
"477","will_23",1899.86090969018
"478","mvdjsn",1665.80740740741
"479","ChessTobzz",1101.31147540984
"480","gonsalo",1057.48648648649
"481","maradonaofchess",1442.06624605678
"482","Ithuriel1212",1323.49723756906
"483","IaMsChRoDiNgEr",1801.9375
"484","Diasmnn",1176.38461538462
"485","close_distance",1629
"486","SergeiSS83",1671.03488372093
"487","cerebra",1463.45833333333
"488","bLb_0",1316.07462686567
"489","ser911",1433.4
"490","Pourquoipas666999",1383.96808510638
"491","Arch32",2143.9243902439
"492","Zoobewohner",2030.98529411765
"493","Brigo68",1575.1
"494","Badmeat",1810.45871559633
"495","VasiaOmegaT",1569.925
"496","Serg_tourn",2371.9648241206
"497","Manitaskym",1950.92380952381
"498","Sanguinius_IX",1842.33898305085
"499","Fan1989",1277.14545454545
"500","Nikeslr",1068.47103274559
"501","johan1",1956.93333333333
"502","fishmeal",1929.36206896552
"503","Viktor_Solovyov",2693.45399515739
"504","Carbono18",1083.00227272727
"505","Sir-Lancelott",1185.43076923077
"506","Romaschka_rus",1838.94444444444
"507","jesuszalvaro",1550.80341880342
"508","ygz_atsy",867
"509","ivanmihov",1563.70886075949
"510","Shakmator",2034.88571428571
"511","sayedaamer",963.291079812207
"512","The_Snorlax",2119.52719665272
"513","atefsayed64",1923.42765273312
"514","ABagOfFritos",1559.04561403509
"515","Abu_nuora",1752.51176470588
"516","nagellll",1757.02747252747
"517","yohanes146",1649.42307692308
"518","CFIEJHernandez",1257
"519","jaiorkt",1760.41304347826
"520","Ahshar72",1405.55670103093
"521","MixedUp",2533.13711583924
"522","Ruswandi",1940.12903225806
"523","sarasvi",1430.13467048711
"524","MajorMinor",2062.10416666667
"525","mroku99",1444.50588235294
"526","rustam333333",1559.99568965517
"527","Saleh_Askar",1869.73885350318
"528","Ummorto",1175.80555555556
"529","spy_me25",1962.15555555556
"530","Aprender24",1036
"531","ChizarubestWaifu",1638.39737991266
"532","tonygcan",1590.19718309859
"533","baburaochess",1673.44444444444
"534","clintojoshy",1120.53846153846
"535","hammerkulit",1936.43529411765
"536","IgorVK",1767.3
"537","Judas_Prest",1250.42631578947
"538","TimpaTal",1617.71621621622
"539","daniel_chess_bcn",1683.50212765957
"540","Master2029",1939.60424469413
"541","superking001",1788.25663716814
"542","FarisAlhuri",1918.96774193548
"543","epersh1975",1910.64358974359
"544","Chessvivalist",1860.34615384615
"545","roumen",1598.30283911672
"546","dtry",1099.71428571429
"547","Oleg-Pavlishin",963.371428571429
"548","rafcio105",1879.43333333333
"549","saia2402",1116.439453125
"550","sergi0medina",2374.54351145038
"551","dmacneill1",1615.55
"552","MaSK78",1873.35
"553","Patman36",2104.42631578947
"554","lawyer35",1935.53086419753
"555","capochess",2399.98260869565
"556","Qwas_igl",2119.05
"557","TanmayyyP",995.791666666667
"558","blazingcanon",1170.7
"559","ayax1964",1704.17192982456
"560","obada20",1615.24043715847
"561","Xam0425",1701.32831325301
"562","Crapouillaux",1584.30970149254
"563","Ibra543",1412
"564","keydon1",1541.89898989899
"565","fidaykin",1940.61812297735
"566","nalba101",2391.91176470588
"567","zyxyz",1531.68387096774
"568","NoTakeBacksBuddy",1177.17328519856
"569","TobyLaForge",1929.29696969697
"570","dreamdragon0108",1864.43373493976
"571","garmonbozya",1824.89304812834
"572","ramin200196",1537.25
"573","Essam223",2356.21633554084
"574","Marcell_Chess",1882.10595358224
"575","sungam21",1798.55681818182
"576","Nbg3299",1616.07272727273
"577","ReyEsElSenor",1886.17573221757
"578","FushkaHypixel",1031.87898089172
"579","bj_rn_182",1785.17409766454
"580","roblensky",1597.65417126057
"581","ChessOnTilt",965.313725490196
"582","slxmateo",1783.23529411765
"583","diktm",1830.96735187424
"584","shtamik",1348.95945945946
"585","Halwa-Oman",1890.85714285714
"586","babi999",2057.88541666667
"587","Mantynis",1360.04081632653
"588","royalhun",1761
"589","Netkz",1208.75
"590","Ceac",1755.29906542056
"591","incoroca",1987.43304843305
"592","Oybek0117",1250.08737864078
"593","Nzannoni",1553.57116788321
"594","HopeGood",2250.23636363636
"595","dude124",1096.05769230769
"596","Danila_2013",1842.94285714286
"597","Colby1965",1813.42857142857
"598","arifsentrk4",1592.325
"599","Hetal123456789",978.05612244898
"600","teardrop-fadeaway",1651.76076993584
"601","Nusret49",2053.66292134831
"602","Srana7009",2206.37704918033
"603","MD_ADAM",1648.47228637413
"604","cavik07",1586.05633802817
"605","diego59",1013.69135802469
"606","joao_antonio54",1427.70875763747
"607","alberto3d18",976.446808510638
"608","trepanatiochess",1332.5
"609","ufuk1417",1944.66666666667
"610","Cubano721",1797.93658536585
"611","Fadeh",1672.15606060606
"612","Adjie_BKD",2191.73913043478
"613","coffeepot1",1973.30434782609
"614","Aelienx",1019.70149253731
"615","Absolutix",1634.02
"616","qahar",1611.6783625731
"617","TheBartman",1719.88461538462
"618","Klmn25",1720.42079207921
"619","ZARAsha_chess",1460.14285714286
"620","kesarwaniajay",1675.41025641026
"621","Boy_Tulak",1883.45528455285
"622","vitisick",1337.65151515152
"623","Crespoomar",1975.73913043478
"624","bakevlia",1540.6204379562
"625","hariantofarm",1090
"626","Mael2210",1405.10880829016
"627","dooon13",1879.625
"628","shrsunil100",1598.5
"629","Traxion55",1957.11574074074
"630","limu_l",1467.21455938697
"631","BykovNvr",1109.10869565217
"632","donatelo977",1997.92134831461
"633","Mqohzulu",2006.90301003344
"634","Iaromir_K",1729.80897803247
"635","Abood3367",1537.35849056604
"636","Artbest02",931
"637","topakkhan1976",2056.48387096774
"638","LoewenherzAri",1500
"639","alloyed7",1722.28173374613
"640","Ivan_Bakynin",1407.42307692308
"641","Angel-Sebastian",1370.0796460177
"642","Rajankc75",1974.0258780037
"643","yahyaturk6161",1254.25
"644","surgon",1617.14344262295
"645","JustPlaying7",2010.66698564593
"646","Creature_of_Habit",1980.73163841808
"647","Zimboy",1931.5126705653
"648","Gianval",2038.27962085308
"649","tabacute",2036.12738853503
"650","newplaayer",1231.96666666667
"651","TaylorYoung",1192.675
"652","jelaouni",1733.41463414634
"653","shekoof",2018.57638888889
"654","ciao_wiegehts",1540.46728971963
"655","Storgi",1548.02380952381
"656","JoseOlin",1518.73446327684
"657","Pathological_Kun",1632.21590909091
"658","estoicosuertudo",1953.48554913295
"659","jclb",1899.76764705882
"660","amit782",1458.7528957529
"661","camr200180",1699.9387755102
"662","Tejasw2023",750.5
"663","Minh94",1075.68965517241
"664","egoo_1",1140.05555555556
"665","i_am_madewill",1097.80434782609
"666","Oozzddeemmiirr",1729.32
"667","IvanS2015",1264.38554216867
"668","Lions_2010",1107.47058823529
"669","nasser5001",1861.44155844156
"670","vishaletik",1794.88
"671","danyapid",1219.79487179487
"672","manasdey26",1482.26530612245
"673","Sharckyl",2200.86879432624
"674","DingSitom",1621.09090909091
"675","Alexandr_Petrovich",1975.72300884956
"676","ragnaer2023",1404.19306930693
"677","Katkov_Max",1943.39732142857
"678","Danyb_Fischer",1390.9298245614
"679","manamanah",1629.35876623377
"680","jjgreene",1373.51662404092
"681","ArkaSarkar",1932.88513513514
"682","gincasar",2175.67424242424
"683","Laiqa",1485.48275862069
"684","KALININ_sv",2155.49253731343
"685","carlg340",1840.36858974359
"686","PJPeanut",803.527777777778
"687","edwardkong",1671.2736318408
"688","Pingsan",2419.35196687371
"689","lolo64cases",1498.45185185185
"690","stevebanjo",1440.59546925566
"691","Savraman70",1271.88709677419
"692","Enricoilgrande",1355.5628742515
"693","forchetta1",1675.66666666667
"694","tsopgniduhamel",2338.12908496732
"695","Aniket5555",1493.13142857143
"696","Hari_4haran",1523.05454545455
"697","BananaGround",1833.88315629742
"698","azez3030",919.721739130435
"699","williamgrazmann",1324.26086956522
"700","Artur_Troian",1225.78
"701","chessbanker",1180.21428571429
"702","stason-14",1941.06445993031
"703","cal_nerd",1710.203125
"704","hamzajuha",1104.36111111111
"705","VladBoyko2466",1500
"706","DE_PRIME_17",1520.88361045131
"707","tepulo40",2290.40590405904
"708","pres3",2092.5
"709","rox71dido",1067.26666666667
"710","Colex",1253.70707070707
"711","doctormarcusdavidoff",1679.62490733877
"712","namphanmem123",1728.4262295082
"713","Jhonvergara1979",1755.51025056948
"714","KAPELIBOG",1026.36248012719
"715","Jika2000",981.202127659574
"716","b2152",1925.96797153025
"717","Marianne15",2103.54838709677
"718","MegaDad_Marvin",2073.45988258317
"719","MRB_NRP",2270.4212034384
"720","josephdessi",1924.95039164491
"721","halil01",1946.48148148148
"722","einfachbesserwieduhs",1029.65714285714
"723","PeiKha86",2136.64369747899
"724","moataztrr",1362.1134751773
"725","SUPRESSIOII",1916.32169811321
"726","Zero_the_emperor",1776
"727","Ivannikolakov",1485.09404990403
"728","buckshot37",1445.38095238095
"729","CodeSlicer",1735.82865168539
"730","frantic00",1565.35897435897
"731","Muhammad_Aref",1050.32317073171
"732","METRALLA-12",1570.6
"733","Rizki-novianto-BKD",1921.67375886525
"734","Rithvik29",1039.83333333333
"735","Moonraker51",1502.47916666667
"736","Kapko_Roman",1298.26857142857
"737","YumurtaliSucurta",1618.11355311355
"738","cemo64",2112.71428571429
"739","fabian_2018",2090.43229166667
"740","Okmal1975",2041.64410058027
"741","kisakakotg",1254.20338983051
"742","irfansulaiman",2283.19407894737
"743","ahmed_khalfan",1030.59793814433
"744","nnoeyre",1161.02158273381
"745","miro100",1030
"746","chabadnik770",2489.43708609272
"747","TF_FT",1808.17808219178
"748","lxg",1592.17647058824
"749","tonusrossi",1677.02032520325
"750","alexgul",1573.0487804878
"751","oscar-david",2070.23529411765
"752","BraBaBaYaGaGa",1657.01127819549
"753","vodila27",2059.05610561056
"754","Bayaraa800",1564.88167938931
"755","john_herrera",1516.44649446494
"756","derlette",1906.97959183673
"757","lub",1529.72727272727
"758","PabloMiragaya",1316.23489932886
"759","ahmetertan",1525.66129032258
"760","Nauraj",1747.7037037037
"761","alberto810916",1941.46226415094
"762","KingJokerLDK",1918.77631578947
"763","sina_m13",1484.08910891089
"764","fide77",1675.07636363636
"765","chab77340",1937.1862745098
"766","Danial-danchik",1185.59259259259
"767","Nabilyon",1465.72796934866
"768","akalin90",1831.32273838631
"769","soluciones1991",2022.52976190476
"770","azoq_the_defiler",1950.96233292831
"771","corzoluis",2032.83856502242
"772","Hawary8",1887.74626865672
"773","Nithishkumar007",1090.72020725389
"774","alidord",1471.64429530201
"775","UserMarjun04",1823.85714285714
"776","Immortal_King333",2304.0701754386
"777","P-Marlowe",1411.66822429907
"778","Hurmant",1883.35897435897
"779","hjahangiri",1962.72488509521
"780","ChrisBall",1328.38271604938
"781","mingussf",1474.21641791045
"782","Zangi",1663.50322580645
"783","Firstjg",1835.9756097561
"784","fredericbouchard",1421.65573770492
"785","XingPilingAmial",935.106382978723
"786","Nasikava",2092.62601626016
"787","Pinguiin",1500.12307692308
"788","anybello",1033.57669441142
"789","oftlosesbothitnman",1900.20105820106
"790","castaman",1700.02941176471
"791","mcakilkaya",1999.57692307692
"792","si_carlsen",1540.92857142857
"793","maarvin",1946.56896551724
"794","Player1789",1850.48484848485
"795","rrotmayer",1322.98222222222
"796","Jac321",1782.01520912548
